Internal ID,Date,Amount,Currency,Account,Department,Customer
INV-2025-001,2025-01-05,1250.00,EUR,Revenue,Sales,Acme Corp
INV-2025-002,2025-01-07,3500.00,EUR,Revenue,Sales,TechStart Ltd
INV-2025-003,2025-01-10,890.50,EUR,Revenue,Sales,Nordic Systems
INV-2025-004,2025-01-12,2100.00,EUR,Revenue,Sales,AfriTech Solutions
INV-2025-005,2025-01-15,675.00,EUR,Revenue,Sales,Berlin Dynamics
INV-2025-006,2025-01-18,4200.00,EUR,Revenue,Sales,Lagos Fintech
INV-2025-007,2025-01-20,1550.00,EUR,Revenue,Sales,Paris Digital
INV-2025-008,2025-01-22,950.00,EUR,Revenue,Sales,Cape Town Analytics
INV-2025-009,2025-01-25,2800.00,EUR,Revenue,Sales,Amsterdam Data Co
INV-2025-010,2025-01-28,1100.00,EUR,Revenue,Sales,Nairobi Tech Hub
INV-2025-011,2025-01-30,5500.00,EUR,Revenue,Sales,Munich Enterprises
INV-2025-012,2025-01-31,780.00,EUR,Revenue,Sales,Accra Innovations

